Date,,Stage,Stage_m
1/3/2015,8:00:00 AM,18.06,5.5
1/3/2015,9:00:00 AM,18.04,5.5
1/3/2015,10:00:00 AM,18.02,5.49
1/3/2015,11:00:00 AM,18,5.49
1/3/2015,12:00:00 PM,17.97,5.48
1/3/2015,1:00:00 PM,17.94,5.47
1/3/2015,2:00:00 PM,17.92,5.46
1/3/2015,3:00:00 PM,17.89,5.45
1/3/2015,4:00:00 PM,17.87,5.45
1/3/2015,5:00:00 PM,17.85,5.44
1/3/2015,6:00:00 PM,17.83,5.43
1/3/2015,7:00:00 PM,17.8,5.43
1/3/2015,8:00:00 PM,17.78,5.42
1/3/2015,9:00:00 PM,17.76,5.41
1/3/2015,10:00:00 PM,17.74,5.41
1/3/2015,11:00:00 PM,17.73,5.4
1/4/2015,12:00:00 AM,17.71,5.4
1/4/2015,1:00:00 AM,17.7,5.39
1/4/2015,2:00:00 AM,17.68,5.39
1/4/2015,3:00:00 AM,17.66,5.38
1/4/2015,4:00:00 AM,17.64,5.38
1/4/2015,5:00:00 AM,17.62,5.37
1/4/2015,6:00:00 AM,17.61,5.37
1/4/2015,7:00:00 AM,17.59,5.36
1/4/2015,8:00:00 AM,17.57,5.36
1/4/2015,9:00:00 AM,17.55,5.35
1/4/2015,10:00:00 AM,17.53,5.34
1/4/2015,11:00:00 AM,17.52,5.34
1/4/2015,12:00:00 PM,17.51,5.34
1/4/2015,1:00:00 PM,17.49,5.33
1/4/2015,2:00:00 PM,17.48,5.33
1/4/2015,3:00:00 PM,17.47,5.32
1/4/2015,4:00:00 PM,17.46,5.32
1/4/2015,5:00:00 PM,17.44,5.32
1/4/2015,6:00:00 PM,17.43,5.31
1/4/2015,7:00:00 PM,17.41,5.31
1/4/2015,8:00:00 PM,17.39,5.3
1/4/2015,9:00:00 PM,17.37,5.29
1/4/2015,10:00:00 PM,17.35,5.29
1/4/2015,11:00:00 PM,17.33,5.28
1/5/2015,12:00:00 AM,17.32,5.28
1/5/2015,1:00:00 AM,17.3,5.27
1/5/2015,2:00:00 AM,17.29,5.27
1/5/2015,3:00:00 AM,17.28,5.27
1/5/2015,4:00:00 AM,17.28,5.27
1/5/2015,5:00:00 AM,17.25,5.26
1/5/2015,6:00:00 AM,17.25,5.26
1/5/2015,7:00:00 AM,17.22,5.25
1/5/2015,8:00:00 AM,17.2,5.24
1/5/2015,9:00:00 AM,17.19,5.24
1/5/2015,10:00:00 AM,17.18,5.24
1/5/2015,11:00:00 AM,17.17,5.23
1/5/2015,12:00:00 PM,17.15,5.23
1/5/2015,1:00:00 PM,17.1,5.21
1/5/2015,2:00:00 PM,17.07,5.2
1/5/2015,3:00:00 PM,17.05,5.2
1/5/2015,4:00:00 PM,17.03,5.19
1/5/2015,5:00:00 PM,17.02,5.19
1/5/2015,6:00:00 PM,17.01,5.18
1/5/2015,7:00:00 PM,17,5.18
1/5/2015,8:00:00 PM,16.99,5.18
1/5/2015,9:00:00 PM,16.98,5.18
1/5/2015,10:00:00 PM,16.97,5.17
1/5/2015,11:00:00 PM,16.97,5.17
1/6/2015,12:00:00 AM,16.97,5.17
1/6/2015,1:00:00 AM,16.97,5.17
1/6/2015,2:00:00 AM,16.93,5.16
1/6/2015,3:00:00 AM,16.92,5.16
1/6/2015,4:00:00 AM,16.9,5.15
1/6/2015,5:00:00 AM,16.87,5.14
1/6/2015,6:00:00 AM,16.86,5.14
1/6/2015,7:00:00 AM,16.84,5.13
1/6/2015,8:00:00 AM,16.82,5.13
1/6/2015,9:00:00 AM,16.81,5.12
1/6/2015,10:00:00 AM,16.79,5.12
1/6/2015,11:00:00 AM,16.77,5.11
1/6/2015,12:00:00 PM,16.75,5.11
1/6/2015,1:00:00 PM,16.72,5.1
